Ne	Analytical_best_s	Analytical_median_s	Analytical_mean_s	fastDTWF_best_s	fastDTWF_median_s	fastDTWF_mean_s
10000	0.6352902718354017	0.6358796451240778	0.6359461632867655	1.6021689078770578	1.6092242042068392	1.6092087967166055
13894	0.6267844571266323	0.6278116770554334	0.6278622747243693	1.9531034850515425	1.9550641770474613	1.9588593593798578
19306	0.6270428099669516	0.6272522490471601	0.6272331796741734	2.4105506469495595	2.415995587129146	2.4144955733790994
26826	0.6330697489902377	0.6335110678337514	0.6334945819495866	2.977769640972838	2.9781660821754485	2.9782986730181924
37275	0.6289056180976331	0.6294871740974486	0.6294505510789653	3.7163662309758365	3.7167374349664897	3.7221635119834295
51794	0.6346498990897089	0.6356276220176369	0.6354940943419933	4.710058429976925	4.723512786906213	4.776458863324176
71968	0.6353882278781384	0.6360146070364863	0.6358460090123117	5.971502375090495	5.98628269485198	5.982650428311899
100000	0.6353037192020565	0.6353795449249446	0.6357322496672472	7.726288987090811	7.732432750053704	7.7346046600335585
138949	0.6320244981907308	0.6326567570213228	0.6324463377241045	10.657707092817873	10.680104946019128	10.674821454954023
193069	0.6347382289823145	0.6350877902004868	0.6349950530566275	14.49963634996675	14.503144573187456	14.525510277055824
268269	0.6384306028485298	0.6385631479788572	0.6385302389195809	19.990328795975074	20.021444011013955	20.029964074958116
372759	0.6326015661470592	0.6330478210002184	0.633087526075542	28.2648012151476	28.3111687800847	28.31864218506962
517947	0.6351506020873785	0.6352092719171196	0.6352595890251299	40.85504636797123	40.9317438271828	40.91126351710409
719685	0.639842398930341	0.6407588839065284	0.6404705119784921	60.16617086995393	60.267622351879254	60.335028783573456
1000000	0.6349682740401477	0.6355895691085607	0.635479137689496	91.257539720973	91.3743862719275	91.34392511968811
