MR	mean_mu	max_loglikelihood
0.013	8.156262207031249e-10	-177863.3797760561
0.02	1.23172607421875e-09	-842807.3066294121
0.03	1.8015380859374996e-09	-827840.3051711755
0.041	2.4031695556640617e-09	-671669.6328252817
0.051	3.021806030273438e-09	-658984.2040587079
0.062	3.6655267333984364e-09	-750401.3675140492
0.073	4.309111938476562e-09	-810046.6666172631
0.083	4.974604797363282e-09	-869088.5237555313
0.094	5.618255615234373e-09	-938636.4405030773
0.105	6.236537933349608e-09	-955826.0354424058
0.117	6.823905029296876e-09	-915700.267350213
0.128	7.433710937500003e-09	-865448.5419711563
0.139	8.055323181152344e-09	-785542.9558414639
0.151	8.68167053222656e-09	-652190.4546528067
0.163	9.33494354248047e-09	-526385.4473059151
0.174	9.872301635742187e-09	-413030.9181490171
0.186	1.0586015624999998e-08	-319818.505364754
0.198	1.1211943359375001e-08	-238538.58244594408
0.211	1.1991352539062499e-08	-186070.41632960193
0.223	1.2594246215820312e-08	-145214.0812507971
0.236	1.3290988769531248e-08	-118137.42123826218
0.248	1.3999042968749996e-08	-98290.63879981395
0.261	1.4721871948242189e-08	-75354.09656961887
0.274	1.5316840820312505e-08	-65319.06561974573
0.288	1.5981855468750006e-08	-53686.10417303324
0.301	1.6439626464843747e-08	-45328.48419210976
0.315	1.705333557128906e-08	-39380.5791599427
0.329	1.787250732421875e-08	-33760.880311029905
0.342	1.808316650390625e-08	-36772.20436901117
0.357	1.8584743652343746e-08	-29171.07893083004
0.371	1.935205200195312e-08	-28492.63520611096
0.386	1.98022900390625e-08	-19467.0832290623
0.4	2.0967773437500005e-08	-19820.28737548974
0.416	2.1385507812499995e-08	-14659.739157087615
0.431	2.177886352539062e-08	-15961.322610171503
0.446	2.1642324218749998e-08	-12992.278635260916
0.462	2.3538764648437497e-08	-11563.353008917311
0.478	2.3804306640624998e-08	-16068.97983497185
0.494	2.3949230957031245e-08	-10570.357075266125
0.511	2.5080917968749998e-08	-7040.443990443477
0.528	2.5756757812500005e-08	-7637.577764333872
0.545	2.6600683593749998e-08	-7229.394672793821
0.562	2.6085800781249995e-08	-5194.659877494826
0.58	2.53693359375e-08	-5697.499568596133
0.598	2.8769990234374998e-08	-4596.72586251254
0.616	2.9512656249999998e-08	-4134.829898848657
0.635	2.9686560058593754e-08	-4019.8743070358355
0.654	2.908032714843751e-08	-4467.644383504065
0.673	3.054953369140625e-08	-3897.765451539695
0.693	3.0022668457031255e-08	-3354.744994858697
0.713	3.548811279296875e-08	-4070.7512496130075
0.734	3.2004980468749986e-08	-3695.168341517965
0.755	3.249670410156248e-08	-3440.503318344366
0.777	3.5602382812499996e-08	-3859.1562130601583
0.799	3.589843017578126e-08	-3608.8711857800463
0.821	3.5108974609374996e-08	-3177.8888908283698
0.844	3.400726562499998e-08	-4067.8349841790896
0.868	3.46468896484375e-08	-5193.759600584567
0.892	3.8920468750000013e-08	-2958.4844231929455
0.916	3.909996093749999e-08	-4640.785575970209
0.942	3.77328955078125e-08	-4598.822545846805
0.968	3.745328125000001e-08	-4269.858860761381
0.994	4.289051757812498e-08	-6743.921182170396
1.022	4.4672578124999984e-08	-5326.15394155456
1.05	4.575292968749998e-08	-5265.908859146918
1.079	4.098935546874997e-08	-8271.63410247846
1.109	4.182576171875004e-08	-8566.537338617149
1.139	4.7494019775390614e-08	-8698.313891248617
1.171	4.837808105468747e-08	-6834.536792562091
1.204	4.208708984375001e-08	-12570.910737674603
1.238	5.3125795898437484e-08	-13646.581124636734
1.273	5.645052612304684e-08	-18641.826432502574
1.309	5.818914062499998e-08	-17277.78398970851
1.347	6.167556518554687e-08	-22749.613311307607
1.386	6.29926171875e-08	-23606.653260732153
1.427	6.866566528320313e-08	-23622.62238829249
1.47	6.000496215820312e-08	-37151.06424531419
1.514	7.525274902343749e-08	-34923.92898882771
1.561	7.966968994140624e-08	-40794.59460043993
1.609	8.199182739257812e-08	-60030.88694714349
1.661	8.18020196533203e-08	-59776.14103264214
1.715	8.814497070312501e-08	-77380.00451647199
1.772	8.870490966796877e-08	-80183.20459070598
1.833	9.233021484375e-08	-90261.03122177569
1.897	9.44794921875e-08	-99705.34947472937
1.966	1.0020372253417969e-07	-113791.95906292339
2.04	1.0300169677734376e-07	-127439.63157870513
2.12	1.0551088867187499e-07	-146735.45242549077
2.207	1.0941515014648437e-07	-125870.98159349465
2.303	1.1232185302734377e-07	-131314.50360897815
2.408	1.1669041015625001e-07	-124675.52196386109
2.526	1.2402592163085937e-07	-96025.64437266177
2.659	1.3078177246093747e-07	-91885.30606190149
2.813	1.3431800292968751e-07	-68437.03151905217
2.996	1.374056591796875e-07	-33120.86261946734
3.219	1.4720087768554683e-07	-10746.903410201397
3.507	1.6178777343750002e-07	-2548.9498760683123
3.912	1.48495546875e-07	-484.32555079234146
