MR	mean_mu	var_mu	max_loglikelihood
0.013	4.7136022248217405e-05	3.339915264e-14	-177863.38001995382
0.02	7.118322958646776e-05	3.339915264e-14	-842807.3064858452
0.03	0.00010411350125188909	3.339915264e-14	-827840.3039697061
0.041	0.00013887681363623458	3.339915264e-14	-671669.6308640009
0.051	0.00017462212157201475	3.339915264e-14	-658984.201492309
0.062	0.00021183184916470432	3.339915264e-14	-750401.3630839007
0.073	0.00024903349661648655	3.339915264e-14	-810046.6608294414
0.083	0.0002874954960409653	3.339915264e-14	-869088.5159271659
0.094	0.00032463747167193183	3.3399152640000015e-14	-938636.4331250248
0.105	0.0003604266287017987	3.339915264e-14	-955826.0234563715
0.117	0.00039438787813435435	3.339915264e-14	-915700.2556645654
0.128	0.0004295622483216819	3.339915264005083e-14	-865448.5293237849
0.139	0.00046558137344446975	3.339915264001934e-14	-785542.9431335776
0.151	0.0005016960761375761	3.339915264e-14	-652190.4436433297
0.163	0.0005394401090087718	3.339915264042812e-14	-526385.4370633458
0.174	0.000570638544004524	3.339915264e-14	-413030.91076942487
0.186	0.0006117380577261226	3.339915264e-14	-319818.49839806004
0.198	0.0006480885128407086	3.339915264e-14	-238538.5770200996
0.211	0.0006928808419713283	3.339915264e-14	-186070.41189419583
0.223	0.0007314580055077231	1.3535859993969896e-08	-145213.52473376284
0.236	0.0007778936854909281	3.756946186902326e-08	-118134.4174638549
0.248	0.0008246369005931879	6.137912595321995e-08	-98284.74315550247
0.261	0.0008607344406808819	3.916230310612451e-08	-75352.36495842987
0.274	0.000914392156447998	1.1805235324652133e-07	-65308.53823671417
0.288	0.000946366672205407	9.225323491890698e-08	-53681.02812890268
0.301	0.0009729665359610416	9.22231624492392e-08	-45324.62285056733
0.315	0.0010201199195458638	1.4368007718672647e-07	-39373.21316003586
0.329	0.0010742046484897665	1.756156416933134e-07	-33752.53582630955
0.342	0.0010878860332884273	1.8246297514253317e-07	-36762.671616227686
0.357	0.0011324861303985308	2.534187802690243e-07	-29158.921287919322
0.371	0.0011654705641827034	2.0412985313813224e-07	-28484.77528908528
0.386	0.0012262150437336236	3.6605960228718967e-07	-19453.4800480742
0.4	0.001299321953131375	3.962180721108447e-07	-19806.623446223522
0.416	0.00131439980797702	3.5063997773802864e-07	-14651.820044954988
0.431	0.0013692353909552507	5.152070946193005e-07	-15945.157136867938
0.446	0.0013859868624586714	6.505216446517085e-07	-12973.07973530708
0.462	0.0015116198606278807	7.461808441273918e-07	-11544.668177526302
0.478	0.0014386431548282968	2.8581777665510437e-07	-16063.844028664034
0.494	0.0014988631099497217	5.493819437197816e-07	-10560.233760603242
0.511	0.0016084153591356927	7.90757716672904e-07	-7029.350005672857
0.528	0.0017014284931553224	1.0969984426703125e-06	-7619.78707377886
0.545	0.001721109419023515	9.28554516935302e-07	-7217.142268413194
0.562	0.0016728903669749155	8.345345032321769e-07	-5186.437220726749
0.58	0.0018051914178511264	1.9364519708265645e-06	-5668.979072189275
0.598	0.0021385531897420507	2.9583280956390017e-06	-4565.581976379789
0.616	0.002073456791080998	2.1281577484784426e-06	-4116.399561557469
0.635	0.0021714285546984013	2.8265934557831563e-06	-3993.797111670742
0.654	0.0020085862507493108	1.8257973568173649e-06	-4451.183937751705
0.673	0.002309884504099036	3.467757570878763e-06	-3871.5530901970915
0.693	0.0021636572196178424	2.602098107255339e-06	-3335.4481301284864
0.713	0.0023864221836400737	1.896330800616578e-06	-4059.9132045838187
0.734	0.0024298559283353234	3.847086641602933e-06	-3664.218852274381
0.755	0.0023731991549055817	3.120740978775656e-06	-3418.8609021399684
0.777	0.002874518064979367	6.043750400849199e-06	-3819.3761680788184
0.799	0.002864026095565332	5.8148917604863305e-06	-3569.6298859652543
0.821	0.002760989431915422	5.29678687183114e-06	-3144.6420633520574
0.844	0.002520152799422971	3.5680412066720628e-06	-4042.3513315925607
0.868	0.0024905189646120783	3.0874063578965327e-06	-5165.138676595851
0.892	0.0029588025688710765	5.204106082142758e-06	-2929.32272523265
0.916	0.0030656074560064858	5.921718513007853e-06	-4595.097706849917
0.942	0.003107583503961606	7.264400204903749e-06	-4533.855184311428
0.968	0.0029915470823243993	6.244890718666727e-06	-4220.963803122156
0.994	0.0033859364710668843	7.071941761923759e-06	-6663.283791796428
1.022	0.0035281596377763494	7.277837846050924e-06	-5268.258385005695
1.05	0.003626287216412149	7.780733932854077e-06	-5205.5066357951055
1.079	0.003292604281539891	7.28788379891505e-06	-8167.824469146072
1.109	0.003418875231367685	8.253034316275311e-06	-8444.62352264244
1.139	0.0039026903689508867	1.0164425740182122e-05	-8565.382760010796
1.171	0.0037764973439890466	7.959101949456333e-06	-6754.578846778726
1.204	0.0032481392281213696	6.134087672402379e-06	-12445.98484820397
1.238	0.0038353132257286484	5.8478800832455026e-06	-13545.916239025717
1.273	0.004096014385358412	6.685416046355365e-06	-18490.394137826683
1.309	0.004281651050977676	7.520789617190564e-06	-17125.22863598039
1.347	0.004324570876908343	5.989460233801158e-06	-22605.770690479516
1.386	0.004345531716037042	5.529505832296839e-06	-23476.64825780023
1.427	0.004660979130081188	5.609179233686425e-06	-23505.233927717418
1.47	0.0045293503836498945	9.26438624575457e-06	-36741.82808053916
1.514	0.0050646276128168115	5.90442293873225e-06	-34769.45284956502
1.561	0.005311645375016272	5.955839261228153e-06	-40624.61176504751
1.609	0.005430389387114338	5.849224089465121e-06	-59802.98794204988
1.661	0.005404631303454303	5.714042082764394e-06	-59556.15719168724
1.715	0.005635246983339707	4.494329311357517e-06	-77208.65057946087
1.772	0.005849382896665957	6.375211157261517e-06	-79883.79675603482
1.833	0.005918861086694259	5.004040764476445e-06	-90044.10977202823
1.897	0.006110153327860104	5.710478193914896e-06	-99429.23135845205
1.966	0.00637010964163015	5.136440598667408e-06	-113549.05975918073
2.04	0.006559294172348337	5.479619748845604e-06	-127156.31834426188
2.12	0.00663831215481722	4.837843112264702e-06	-146481.43420926775
2.207	0.00697053320099719	6.025310369720948e-06	-125587.41531701601
2.303	0.0070904722986720615	5.5919495165466906e-06	-131064.1820315127
2.408	0.007532911675206231	7.751956298892066e-06	-124316.37778184969
2.526	0.007861262665516556	6.86256268801146e-06	-95824.32898125825
2.659	0.008221180129155039	6.644745048484349e-06	-91724.05544092412
2.813	0.008562120176559884	8.407494254413827e-06	-68271.06794471914
2.996	0.008883521108805473	1.0172960196921861e-05	-33020.505521239866
3.219	0.009525212183491089	1.1442443060080686e-05	-10711.789638354918
3.507	0.011047127924305783	2.0979187023728376e-05	-2535.498050338906
3.912	0.010706966610214292	2.7198240909444987e-05	-480.24961021258525
