MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	0.00017087578556769652	4.327513675383669e-05	3.339915264e-14	-35776.409154222194
0.02	2.16010843053645e-05	6.691564235596824e-05	7.954095541230756e-13	-177374.26931071008
0.03	1.9573320788611248e-05	0.00010048524465220866	3.339915264e-14	-181866.5109191436
0.041	4.8353114193945565e-06	0.00013629216125598848	3.339915264e-14	-153021.28940811122
0.051	0.00016639908764779082	0.00017244618808446012	3.3399152639999996e-14	-154083.48998503957
0.062	0.0	0.00021005240467222345	6.873218698318519e-09	-180286.5851221283
0.073	3.8337658881326366e-05	0.0002463333442472949	3.3399152639999996e-14	-196874.23680903064
0.083	0.00016431971473291742	0.00028377305541292216	3.339915264e-14	-213748.56171622404
0.094	0.00017923148726500533	0.0003245455139727055	3.339915264e-14	-236658.3994968706
0.105	0.00019944669093212872	0.0003595505574608696	3.3399152639999996e-14	-242531.27111272342
0.117	2.3628945944173643e-05	0.00039517972593671716	3.339915264e-14	-235601.9700432877
0.128	0.00011292089055083107	0.0004294866315522342	3.3399152639999996e-14	-225592.1043494604
0.139	0.00012242633964435439	0.00046604343270768584	3.339915264e-14	-206438.60758890986
0.151	0.00017085661234651133	0.0005062343723823106	9.08476505599425e-09	-174465.5163814035
0.163	6.0913834172578415e-05	0.0005470830168540534	5.220513934158771e-08	-142866.83135729635
0.174	0.00020753011777652382	0.0005807722646636465	3.339915264e-14	-113341.72731956352
0.186	0.0001966445708607561	0.0006211029376982703	3.3399152639999996e-14	-87991.25447623561
0.198	0.00012223372631333035	0.0006791627247692224	1.2178407351794617e-07	-68077.30576478956
0.211	0.00013111615369003528	0.0007014821734435858	3.339915264e-14	-52253.64007945838
0.223	7.37922400766247e-05	0.0007628375456817542	8.360819208307387e-08	-41787.210533550315
0.236	7.971275642647927e-05	0.0007997580447396371	2.75594565811618e-08	-34317.74169675957
0.248	0.00012979780680249375	0.0008541491291651476	2.2041939012719613e-07	-28920.341881955304
0.261	0.00010242903756229769	0.0008712051485404461	1.1000997598998956e-07	-22113.974630362158
0.274	0.000223467144561968	0.0009165676264006027	3.339915264e-14	-19082.496750370963
0.288	6.708013539256905e-05	0.0009848175486831963	3.339915264e-14	-16118.627664128759
0.301	0.00017969514497488069	0.001041671147578562	3.6295387646277373e-07	-13995.823580451965
0.315	9.572236559249564e-05	0.0010956703709340703	7.022235890060609e-07	-12528.285271339942
0.329	0.00010976344757436991	0.0011440448461730534	3.3435318848926084e-07	-10686.854666293582
0.342	0.00016297134487244525	0.001161885056238475	2.5844648001579365e-07	-11816.808275743459
0.357	9.206504567291888e-05	0.00125943701531249	4.690409242942818e-07	-9609.93209679967
0.371	8.773453111273862e-05	0.0012759130551691566	3.8893468172143714e-07	-9325.876121756146
0.386	0.00023791922959058446	0.0012491769298756418	3.339915264e-14	-6297.697673849931
0.4	9.793499828016392e-05	0.001421116516209219	9.82117177832371e-07	-6573.361832701294
0.416	5.9880885874631344e-05	0.001443939737541717	1.5803997074016156e-06	-4950.363521484462
0.431	9.330397645580977e-05	0.001555693236535424	8.912326391098631e-07	-5703.75976614875
