MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	0.00017250809527797332	4.2463820801792734e-05	3.339915264e-14	-34110.45015106398
0.02	0.00011265248159355925	6.62288651721592e-05	3.3399152639999996e-14	-169314.78891354325
0.03	0.0002908743290379453	9.698347650627495e-05	3.339915264e-14	-169997.0760773095
0.041	0.0001921561710457295	0.00013406674577457863	3.339915264e-14	-145738.39027861378
0.051	0.00015054867831345708	0.0001706304019218911	3.339915264e-14	-146946.31819898143
0.062	0.0	0.00021018051950063882	3.339915264e-14	-173931.2665080814
0.073	0.0002523408093942173	0.0002459861617604335	3.339915264e-14	-189533.764239072
0.083	0.00030463306909405037	0.00028383754555654536	3.339915264e-14	-205596.5320724552
0.094	5.7867289354880666e-05	0.0003243707215888306	3.3399152639999996e-14	-227457.4311810978
0.105	0.0	0.0003572382238807678	3.339915264e-14	-233766.64784658854
0.117	0.0	0.0003905802713171173	3.339915264e-14	-224932.63083159897
0.128	0.0	0.0004292406737482486	3.3399152639999996e-14	-216791.54961779786
0.139	0.00011052537937197865	0.0004666391573331991	3.3399152639999996e-14	-199647.7368422891
0.151	0.00012968521802919004	0.0005025611867295897	3.339915264e-14	-167097.74944291555
0.163	0.00010324404172041098	0.0005408447326341565	3.339915264e-14	-137078.7461930526
0.174	0.0001751286095405953	0.0005797478239968183	1.6692809648766865e-08	-109595.92053011102
0.186	0.00010341695815073647	0.000617141007653589	3.339915264e-14	-84569.6749731787
0.198	7.174237322853813e-05	0.0006667530249752289	1.1179003691385484e-07	-64310.95093236306
0.211	0.00015749608797253412	0.000709785180399519	3.339915264e-14	-50558.656545105325
0.223	6.703496918449963e-05	0.0007557633022302401	9.245439184690153e-08	-40092.032124636884
0.236	9.106542106561358e-05	0.0008006154523219482	7.582018135088678e-08	-33116.18667824134
0.248	4.581766140945829e-05	0.0008245860003515551	3.339915264e-14	-27487.939706581514
0.261	0.00011195790400433055	0.0008636773967308267	3.339915264e-14	-21130.383987047393
0.274	6.3585665380874e-05	0.0009310024622422138	3.339915264e-14	-18546.243071321092
0.288	4.451766488713052e-05	0.000973998863274303	3.339915264013078e-14	-15517.365009641851
0.301	5.268638349362064e-05	0.0010191200405278934	3.3399152639999996e-14	-13174.292666971765
0.315	7.206834726104186e-05	0.0010723238097262676	2.1557079101222748e-07	-11914.282782143027
0.329	0.00010154480378080881	0.0011545094656530749	7.829122529970469e-07	-10271.566279108085
0.342	0.0005855455122874224	0.0011006189945345286	3.3399152639999996e-14	-10876.34363509981
0.357	0.00019311644364483534	0.0011820903673022533	2.568547270669948e-07	-9015.535861222012
0.371	0.0002158431398286048	0.0011932971909984118	3.339915264e-14	-8660.777950505826
0.386	7.278593497037642e-05	0.001351645745288873	7.995075325966761e-07	-6241.6916950626
0.4	0.00020661602973248442	0.0013387947134795766	3.339915264e-14	-6239.922286763313
0.416	9.303741990711133e-05	0.0014267910745930472	1.5897158807415582e-07	-4793.150845340152
