MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	6.58812466581727e-05	4.5958021732307654e-05	3.339915264e-14	-30478.82435128307
0.02	0.00014866506974245544	6.901219639169522e-05	3.339915264e-14	-145385.17243471384
0.03	0.0003037579612837161	0.00010174943871126942	3.339915264e-14	-146626.20623402327
0.041	0.00012147993700274611	0.00013667150480968252	3.339915264e-14	-122437.61429653471
0.051	0.00016687048146579145	0.00017221726654763445	3.339915264e-14	-122700.88226829021
0.062	0.0	0.00020784878799870205	3.3399152639999996e-14	-141884.6135959585
0.073	0.00013563995024105542	0.00024846562993352967	3.339915264e-14	-158459.44458848794
0.083	0.00016343113829923606	0.0002871412857502741	3.339915264e-14	-171339.6050972396
0.094	0.00019708074559588316	0.00032073158235110407	3.3399152639999996e-14	-185870.9086394229
0.105	0.00015016030087301358	0.0003512161607418615	3.339915264e-14	-189705.9876701221
0.117	0.0002707601548256874	0.000381203884713624	3.3399152639999996e-14	-181748.29398053978
0.128	0.00023096672920916878	0.00041978650057891546	3.3399152639999996e-14	-175566.76778512346
0.139	0.0002466730584624148	0.0004561442715977699	3.3399152639999996e-14	-161141.02633871965
0.151	0.0003950137843031034	0.0004926897855926852	3.3399152639999996e-14	-135920.40744187153
0.163	0.00014140437935772566	0.0005270167983088437	3.511893701490417e-08	-110348.08256579333
0.174	0.0013258915741420577	0.0005683511525395983	3.339915264e-14	-88445.49897522476
0.186	0.00019231781693416374	0.0006030272250997442	2.3982353234161818e-08	-68185.55313848596
0.198	0.00016571964385834285	0.000651942492813507	8.324199886666272e-08	-52437.37447419732
0.211	0.00019894255590219474	0.0006886999253010576	3.340517823602936e-14	-40654.502835355466
0.223	0.00014193125902420641	0.0007496908769489788	2.991379347261155e-07	-32719.082360803488
0.236	0.00022171730069872687	0.0007631709890192868	2.8469933046413747e-09	-26209.828785101996
0.248	0.00017176306822282178	0.0008168469680260922	3.3399152639999996e-14	-22457.023475938247
0.261	0.00013663996836578586	0.0008674310801439415	4.4971955401259983e-07	-17219.49045780249
0.274	0.0001707769108597859	0.0008958993333903001	3.3399152639999996e-14	-14932.19619690917
0.288	0.0	0.0009921229307632267	3.3399152639999996e-14	-13001.032129728223
0.301	0.0002370314523808792	0.000995367641656177	3.339915264e-14	-10754.536214861022
0.315	0.0002306788344948744	0.0010351075501673621	3.339915264e-14	-9520.22313147652
0.329	0.00011110046751129865	0.0011177549111382307	7.265150057682128e-07	-8365.395179897214
0.342	0.0001474418022452211	0.0010953199519430426	2.6894817537689486e-07	-9162.24124812222
0.357	0.0001921284851640646	0.0011662101566812847	1.1357858329918842e-07	-7211.283467869401
0.371	0.0003855665434859089	0.0011271570817228686	3.339915264e-14	-6785.919197430418
0.386	5.055933727311746e-05	0.0013129855658644061	1.5486824159828334e-06	-4907.813057667262
0.4	0.00010622362881310384	0.0012825806646275923	9.277392831749079e-07	-4909.977521801384
