MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	1.900618130261583e-05	4.822558403175946e-05	3.339915264e-14	-15192.478459989628
0.02	8.264152856494702e-06	7.617893285416284e-05	3.339915264e-14	-76456.95444531733
0.03	3.672904645022422e-05	0.00011744277995613621	3.339915264e-14	-80944.534436452
0.041	1.918887888291286e-06	0.00014991036122068022	3.3410413760349706e-14	-65517.216775509514
0.051	0.00022474968159051317	0.00018570142277127185	3.339915264e-14	-66247.49631598654
0.062	0.00030564870064200757	0.00021365214478389204	3.339915264e-14	-73543.31727135525
0.073	0.0004297078778587466	0.00024273726775259633	3.339915264e-14	-79202.32988480452
0.083	0.00023018042112557543	0.00026752909183152775	3.339915264e-14	-82962.590733726
0.094	0.00036347394258182055	0.0002958908927340026	3.339915264e-14	-90147.5996019073
0.105	0.00017056524589054818	0.0003307625068621506	3.339915264e-14	-93075.08177155422
0.117	0.0	0.00035814759964343697	3.339915264e-14	-89319.14153267433
0.128	5.263712171746127e-05	0.00038673717822962036	3.339915264e-14	-85154.61503198024
0.139	0.00017935380994043171	0.00041623227986665486	3.339915264e-14	-77693.8153542611
0.151	0.0002288277152752775	0.0004442406505395613	3.907027929695043e-14	-65637.59239829761
0.163	0.00016450280354494715	0.00047845924450145465	1.4900790356270995e-07	-54027.38399921842
0.174	0.00012453648908757693	0.0005082661194865158	2.62256125240517e-07	-42715.71680533457
0.186	0.00010158807619204244	0.000561063153021281	5.903317178774184e-07	-34189.35088715309
0.198	0.00011275611165353583	0.0005882250455976278	3.709696106112675e-14	-25722.374075739124
0.211	0.0	0.0006455640446582714	3.339915264e-14	-20365.06388081364
0.223	0.00011928967349545601	0.0006701182040326812	3.3399152639999996e-14	-15973.3737980035
0.236	0.0001988717099157708	0.000707023531137394	3.339915264e-14	-12969.532418195542
0.248	0.00020388169726697657	0.0007762212544966939	3.339915264e-14	-11554.391661644278
0.261	0.0002580584279930872	0.0008507863009087289	3.339915264e-14	-9120.915127958791
0.274	0.0010994128760881535	0.0008828575208234257	3.3399152639999996e-14	-7909.066282384487
0.288	0.00025943740052726083	0.0008994205495071631	3.3402465989005967e-14	-6548.032028189279
0.301	0.00014643373093729142	0.0009641423349132695	3.3399152639999996e-14	-5526.4160354885225
0.315	7.877542558882815e-05	0.0009373976618683854	3.3399152639999996e-14	-4701.547850811014
0.329	0.00021328392655252815	0.0009090426666368988	3.339915264e-14	-3867.0123818505645
0.342	0.00012975263271538807	0.0010563137780958479	3.339915264e-14	-4721.894181123171
