MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	2.3266525732836514e-05	4.7136259820235955e-05	3.339915264e-14	-177863.38043564346
0.02	7.778027544869378e-05	7.118695936284572e-05	3.339915264e-14	-842807.3183860185
0.03	6.471200096781961e-05	0.00010412090655018185	3.339915264e-14	-827840.3162086925
0.041	2.597940431668028e-05	0.0001388824609334977	3.339915264e-14	-671669.6360240326
0.051	5.935435447250936e-05	0.00017465905025645692	3.339915264e-14	-658984.2176960384
0.062	5.435998897576803e-05	0.00021184257138752135	3.3399152639999996e-14	-750401.3857854983
0.073	3.7222161991178396e-05	0.00024905410586926525	3.339915264e-14	-810046.677756063
0.083	7.423956854906547e-05	0.00028756197027289575	3.3399152639999996e-14	-869088.5556182537
0.094	6.896998940798327e-05	0.0003246945065906693	3.3399152639999996e-14	-938636.4773773199
0.105	3.8838464324525535e-05	0.00036048683330893903	3.339915264e-14	-955826.0577989913
0.117	6.814047994646919e-05	0.00039439928540866044	3.3399152639999996e-14	-915700.3157349761
0.128	4.3472401420770376e-05	0.00042966044825297836	3.339915264e-14	-865448.5654225332
0.139	8.688417307427414e-05	0.00046563574421274465	3.339915264e-14	-785543.0155294487
0.151	0.00013762146425853764	0.0005018800928996627	1.8380529796170733e-13	-652190.5172249017
0.163	0.0001318504264974889	0.0005395497644471543	3.339915264e-14	-526385.4999731646
0.174	0.00015449111947792732	0.0005704553388373873	3.339915264e-14	-413030.98332793947
0.186	0.00016539153220845488	0.0006119072407693049	3.339915264e-14	-319818.5072749635
0.198	0.00022125737851078688	0.0006481005070619603	3.339915264e-14	-238538.6124240621
0.211	0.00041336134860581414	0.0006933204942575709	3.339917813546954e-14	-186070.43748962984
0.223	0.00013345955298126893	0.0007315522456684271	1.344853331708916e-08	-145213.52555604215
0.236	9.074294944664918e-06	0.0007779063349643918	3.755614841512937e-08	-118134.41745955287
0.248	1.0516928627808943e-05	0.0008246406412440213	6.134551856447151e-08	-98284.74292770623
0.261	1.0478903782359993e-05	0.0008607423374338943	3.913750178375967e-08	-75352.36472228359
0.274	3.786666443614001e-05	0.0009144152508809324	1.1796724463861684e-07	-65308.53850925518
0.288	0.06982726997595098	0.0010127235509931293	3.3407504827645676e-14	-53680.62738522369
0.301	0.0	0.0009729632221865518	9.221294788966271e-08	-45324.62285052876
0.315	8.988346618598926e-05	0.0010201993578485835	1.4349823529971386e-07	-39373.213354006206
0.329	0.00012866168255311057	0.0010743406270323891	1.7547373435173444e-07	-33752.53443614363
0.342	0.00019335169630378373	0.0010880620062739292	1.821375008878882e-07	-36762.670212152654
0.357	0.00010795889329405365	0.0011325779175176036	2.5320050167206843e-07	-29158.921189936227
0.371	0.00011186293403128887	0.0011655862960504794	2.0390330462150088e-07	-28484.774618688876
0.386	8.06421499109613e-05	0.0012262628037863692	3.658052322450266e-07	-19453.48086697435
0.4	0.00012195956960406429	0.001299456061433392	3.9594987928970446e-07	-19806.62525553714
0.416	8.363296643276039e-05	0.001314558730875653	3.5058322769492215e-07	-14651.821874305757
0.431	2.596674160202196e-05	0.0013692300903055368	5.150322025420546e-07	-15945.15750365096
0.446	0.00015203272007224177	0.0013862038955266792	6.501362724576822e-07	-12973.079591175321
0.462	8.732533036771311e-05	0.0015117008616893387	7.457450615865912e-07	-11544.668385750465
0.478	4.63630043303522e-05	0.001438713426212959	2.858479481792603e-07	-16063.84460259572
0.494	0.0001402808303266029	0.0014990894217752255	5.489568780474107e-07	-10560.234167502651
0.511	0.0001564174678768956	0.0016087515362572453	7.90464124457331e-07	-7029.351087859233
0.528	0.0	0.0017013680841363316	1.096697161515707e-06	-7619.787073374189
0.545	0.0001128653845640934	0.001721197169343082	9.28651272914253e-07	-7217.144327178268
0.562	0.00013469988907582927	0.0016730696591387988	8.338734856110312e-07	-5186.437741052718
0.58	9.95767783529397e-05	0.00180535894203956	1.9361070153220696e-06	-5668.979807681897
0.598	2.034167648470357e-05	0.0021387660505261174	2.959212409462741e-06	-4565.582252392495
0.616	0.0	0.0020733930682613182	2.1281873592178846e-06	-4116.399561401689
0.635	5.373872564490402e-05	0.002171318046783012	2.8249299982173898e-06	-3993.79751123702
0.654	0.00010092178928080596	0.0020088951086776564	1.8253807255148205e-06	-4451.1861675081445
0.673	0.0	0.002310069404007106	3.4697191118795645e-06	-3871.5530892016614
0.693	9.032005907527552e-05	0.0021640058060907108	2.6025037861064102e-06	-3335.4487530532692
0.713	0.0	0.002386474868868944	1.8965052580533523e-06	-4059.913204346414
0.734	0.0	0.0024297764592084705	3.846289083981889e-06	-3664.2188512508224
0.755	8.903416579773786e-05	0.002373442726427379	3.1203703526567155e-06	-3418.8619711515666
0.777	6.70531887188603e-05	0.002874718222332887	6.043090718539585e-06	-3819.377237770546
0.799	0.0	0.0028640687326307677	5.8164706309806334e-06	-3569.62988738358
0.821	0.0	0.002761243184421994	5.298297358177281e-06	-3144.64206165007
0.844	6.470805908493575e-08	0.002519906956224708	3.5658139381622214e-06	-4042.3513359934327
0.868	0.0	0.002490252947737571	3.086121781787107e-06	-5165.1386742292525
0.892	0.06859406304064564	0.003116688074281574	3.88568525905982e-06	-2928.9819568558473
0.916	5.876545839534707e-06	0.0030656344538368854	5.921110996694254e-06	-4595.097852767235
0.942	0.0	0.0031075915516554993	7.26421074872085e-06	-4533.855184625068
0.968	0.0001074138658487223	0.002991780411034788	6.2426641169317585e-06	-4220.964308385575
0.994	1.327871553372402e-07	0.0033857591762429494	7.0707717065244224e-06	-6663.283793787811
1.022	3.327023120156681e-08	0.0035281426076077447	7.277215483894944e-06	-5268.258387500307
1.05	0.0	0.0036262349407679903	7.780259670520776e-06	-5205.506635727184
1.079	2.6178703120940664e-05	0.0032925338151497613	7.286160814578016e-06	-8167.824718802207
1.109	5.0160592705476944e-05	0.003418973344892576	8.251360061508992e-06	-8444.622758442458
1.139	0.05495438273494273	0.00405408125743584	8.111276753569854e-06	-8564.271020149905
1.171	8.58278321393142e-05	0.0037767336857822513	7.95620903718614e-06	-6754.57889528586
1.204	8.764290743659437e-05	0.0032483414812781598	6.132157108535415e-06	-12445.987230646153
1.238	0.0179232674106711	0.0038780517620363403	5.200402936263956e-06	-13545.617665573778
1.273	0.049071360510663686	0.004213605058665351	4.460328313811663e-06	-18485.792039242253
1.309	0.019666510467025916	0.004331448241081795	6.5841238564723525e-06	-17124.602516636496
1.347	0.01607940933073849	0.004363662998587434	5.199892149014472e-06	-22604.980388232892
1.386	0.032829383179604946	0.004417843615066253	3.805364612635222e-06	-23472.38832754377
1.427	0.04433923302407899	0.004747007752352414	2.7268354163308473e-06	-23492.46132005452
1.47	0.05421257282081468	0.004672343187011515	6.137991026158835e-06	-36728.288157969444
1.514	0.025389738360622395	0.005105923323390242	3.874270245273222e-06	-34761.42295595175
1.561	0.02490540960586523	0.005351499184140748	3.733847479540173e-06	-40612.46702133736
1.609	0.02570784102878962	0.005461163111640618	3.3642733792941426e-06	-59780.8354751808
1.661	0.027350886178566715	0.005434994493926388	3.079225986378585e-06	-59530.97156534673
1.715	0.01802083815208335	0.005643049684234239	2.5461117575830986e-06	-77187.1706650018
1.772	0.0263110501174023	0.005867659905317268	3.257311401438068e-06	-79839.47933490553
1.833	0.018315220911638952	0.005922522159576725	2.7568714825768094e-06	-90012.66855994491
1.897	0.019195735286349772	0.006108768906557073	3.1312533620493736e-06	-99388.83805881451
1.966	0.014162973722733955	0.0063636942791929895	3.031012122987974e-06	-113514.3728754438
2.04	0.01513646173079414	0.006547280090686194	3.039889461103714e-06	-127106.225967863
2.12	0.01233798208694885	0.006622667018722906	2.7737436611780456e-06	-146436.0221871842
2.207	0.012465483927287555	0.006951115514852275	3.654299827912303e-06	-125544.54014523012
2.303	0.011660036582328514	0.0070668598144636085	3.2640530177379363e-06	-131017.46908479754
2.408	0.011500227900435082	0.007506664315944923	5.067125360626406e-06	-124272.65051426868
2.526	0.009893669789352903	0.007823046555744692	4.231715600724169e-06	-95787.4210499583
2.659	0.007226705585312087	0.008182284135103014	4.448598610173508e-06	-91698.75918177626
2.813	0.01018444179895742	0.008505315770695496	4.983875781324127e-06	-68233.16529467893
2.996	0.007725357717903574	0.00883765718451775	7.301899130341797e-06	-33010.13931753858
3.219	0.004311010575874224	0.009499244206913131	9.58231146887242e-06	-10710.353121097987
3.507	0.0005259386743418364	0.011040449800049715	2.0606299721311455e-05	-2535.49272369432
