MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	3.8084073971296144e-07	4.420427338907221e-05	3.3399152639999996e-14	-52900.804894152796
0.02	9.855888983071474e-05	7.152112199904378e-05	3.339915264e-14	-267235.6175736261
0.03	3.652733294365352e-06	0.0001052221101017018	3.339915264e-14	-267077.4697026743
0.041	3.0587813857107834e-06	0.0001376929902882432	3.339915264e-14	-218194.3954368674
0.051	0.0001599541056438771	0.0001730435433659788	3.339915264e-14	-218057.2659616291
0.062	0.00020789148291789527	0.00020736886567817702	3.339915264e-14	-249357.2066234363
0.073	0.00016225230456002948	0.0002465490421902943	3.339915264e-14	-275693.778709575
0.083	0.00018701129021401783	0.0002830013460738636	3.3399152639999996e-14	-297147.0637201965
0.094	0.0001613815731991039	0.00031815620698745484	5.053509526880323e-14	-323586.8477158175
0.105	0.00022049779212056562	0.00035501039916307516	3.339915264e-14	-334517.8211508509
0.117	3.668883884144932e-05	0.0003867125457453316	7.0855620797541125e-09	-321533.3388710363
0.128	0.00024073861929159126	0.0004251246189447158	3.3399152640022495e-14	-309612.1615665529
0.139	0.00020628274154010798	0.00046323113726359387	2.4138333387969007e-08	-283654.7719670507
0.151	0.00017623030481866747	0.0005073099499223134	6.977440314677746e-08	-239203.1677320853
0.163	0.00017172794544936815	0.0005397419590435929	6.080755694941947e-08	-193713.42886414917
0.174	0.0001831419580866488	0.0005750070669751753	3.195360538994102e-08	-153714.13188626026
0.186	0.0001572810373903985	0.0006211621270644283	1.26199314621799e-07	-119470.60537286085
0.198	0.00014206746158754903	0.0006597311730241528	8.89565504698987e-08	-90202.71734893868
0.211	0.00018222326825225132	0.0006942605474367888	8.406500098727e-08	-69552.36424945357
0.223	0.00017132283758541637	0.0007394844336277282	9.376840165797758e-08	-55326.26525683612
0.236	0.00014251862414828802	0.0007876436790345784	1.219524896583625e-07	-45607.13861269536
0.248	0.00013854214480781327	0.0008357455957189316	1.3855674066058678e-07	-38386.48507705063
0.261	0.00011143549257237199	0.0008969347091818975	2.677856611359563e-07	-30139.782487575663
0.274	0.00016780271064585265	0.0009105307426580864	1.1559532232483785e-07	-25388.94428544539
0.288	0.00016370803301064458	0.0009587820969569839	1.9435110214520616e-07	-21306.127882688794
0.301	0.0001775036661000758	0.0009940584995329223	3.3770173730940696e-07	-17950.131198631574
0.315	0.00018081885120965432	0.0010462881008745672	2.185633987265961e-07	-15929.954055104274
0.329	0.00013100792462511637	0.0011124704200059085	7.148083588821223e-07	-13740.388256521896
0.342	0.0001406766428520819	0.0011141681306947363	4.7088795638557294e-07	-15063.518103250446
0.357	0.0001309296828590834	0.001189500761304538	6.48066129600052e-07	-12030.084763068931
0.371	0.0001437944182933741	0.0011912246683717593	5.083384999783548e-07	-11728.229057651086
0.386	0.00011455148682093755	0.001265340357110661	3.339915264e-14	-8141.053764959061
