MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	0.0	6.715665002542013e-05	3.339915264e-14	-264539.4152958164
0.02	5.440353455113064e-05	0.00010275994964813512	3.339915264e-14	-1255452.122546658
0.03	7.023618053305801e-05	0.00014957412342319807	3.339915264e-14	-1214712.6069269278
0.041	5.645787797516101e-05	0.00019832607831440745	3.339915357316251e-14	-975294.8127563711
0.051	2.6100184657379168e-05	0.00024865054596316823	3.3399152639999996e-14	-948074.3097788611
0.062	6.000095401501984e-05	0.0003006665327388632	3.339915264e-14	-1071685.1003811501
0.073	7.358646483070444e-05	0.0003527072572360536	3.3399152639999996e-14	-1147908.472907772
0.083	5.480007947776595e-05	0.000407008855729894	3.3399152639999996e-14	-1223346.1938143854
0.094	2.392233823096049e-05	0.00045841342868041773	3.339915264e-14	-1312212.0961913273
0.105	7.09620866063676e-05	0.0005087495018910001	3.339915264e-14	-1329497.5001123124
0.117	0.00013099623297026274	0.0005554528440820836	3.3399152639999996e-14	-1265964.3589088297
0.128	0.0	0.000604875308123688	3.339915264000004e-14	-1192048.9097180143
0.139	0.00014863010599525556	0.000654746224607845	3.3399152639999996e-14	-1076667.2177345043
0.151	0.00013352577589623236	0.0007041137106770858	3.339915264e-14	-889045.5230404272
0.163	0.00013541755853528658	0.0007529855821471484	3.339915264e-14	-713154.85053956
0.174	9.254154883728604e-05	0.000797155089778721	3.339915264e-14	-557926.046338376
0.186	0.0001309026981364562	0.000851659947751722	3.339915264e-14	-428286.5579203662
0.198	0.00012793443368659278	0.0009007969992193301	3.339915264e-14	-319421.57651374687
0.211	7.22839541777278e-05	0.0009560132614652925	3.339915264e-14	-246406.97625636135
0.223	0.0	0.0010063922432336136	3.3399152639999996e-14	-192120.7724788827
0.236	6.314147577595822e-05	0.0010571053678851143	3.339915264e-14	-155423.8694543963
0.248	0.00010846614385150482	0.0011072849989736617	3.339915264e-14	-128812.10114508453
0.261	0.00010183563098221021	0.0011595724480816787	3.4701290113020015e-14	-98406.43767580719
